,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",0,0,0,,0.375,8
1,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",1,0,0,,0.375,8
2,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",2,1,-1,,0.375,8
3,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",3,1,-1,,0.375,8
4,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",4,0,0,,0.375,8
5,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",5,0,0,,0.375,8
6,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",6,1,-1,,0.375,8
7,b01b7318-5d0e-11f0-954f-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1]",7,1,-1,,0.375,8
8,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",0,1,-1,,0.375,8
9,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",1,1,-1,,0.375,8
10,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",2,1,-1,,0.375,8
11,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",3,0,0,,0.375,8
12,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",4,1,-1,,0.375,8
13,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",5,1,-1,,0.375,8
14,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",6,1,-1,,0.375,8
15,b01b7318-5d0e-11f0-954f-beb3bfa57af1,1,"[1, 1, 1, 0, 1, 1, 1, 0]",7,0,0,,0.375,8
16,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",0,1,-1,,0.375,8
17,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",1,1,-1,,0.375,8
18,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",2,0,0,,0.375,8
19,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",3,0,0,,0.375,8
20,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",4,1,-1,,0.375,8
21,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",5,1,-1,,0.375,8
22,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",6,1,-1,,0.375,8
23,b01b7318-5d0e-11f0-954f-beb3bfa57af1,2,"[1, 1, 0, 0, 1, 1, 1, 0]",7,0,0,,0.375,8
24,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",0,1,-1,,0.375,8
25,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",1,1,-1,,0.375,8
26,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",2,1,-1,,0.375,8
27,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",3,1,-1,,0.375,8
28,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",4,0,0,,0.375,8
29,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",5,0,0,,0.375,8
30,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",6,1,-1,,0.375,8
31,b01b7318-5d0e-11f0-954f-beb3bfa57af1,3,"[1, 1, 1, 1, 0, 0, 1, 0]",7,0,0,,0.375,8
32,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",0,1,-1,,0.375,8
33,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",1,1,-1,,0.375,8
34,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",2,1,-1,,0.375,8
35,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",3,1,-1,,0.375,8
36,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",4,1,-1,,0.375,8
37,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",5,0,0,,0.375,8
38,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",6,0,0,,0.375,8
39,b01b7318-5d0e-11f0-954f-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 0, 0, 0]",7,0,0,,0.375,8
40,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,,0.375,8
41,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",1,0,0,,0.375,8
42,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",2,0,0,,0.375,8
43,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",3,0,0,,0.375,8
44,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",4,0,0,,0.375,8
45,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",5,0,0,,0.375,8
46,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",6,1,1,,0.375,8
47,b01b7318-5d0e-11f0-954f-beb3bfa57af1,5,"[0, 0, 0, 0, 0, 0, 1, 0]",7,0,0,,0.375,8
48,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,,0.375,8
49,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",1,0,0,,0.375,8
50,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",2,0,0,,0.375,8
51,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",3,0,0,,0.375,8
52,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",4,0,0,,0.375,8
53,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",5,1,1,,0.375,8
54,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",6,0,0,,0.375,8
55,b01b7318-5d0e-11f0-954f-beb3bfa57af1,6,"[0, 0, 0, 0, 0, 1, 0, 1]",7,1,1,,0.375,8
56,b01b7318-5d0e-11f0-954f-beb3bfa57af1,7,"[1, 1, 0, 0, 1, 0, 1, 0]",0,1,-1,,0.375,8
