,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0]",0,0,0,,0.6,5
1,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0]",1,1,1,,0.6,5
2,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0]",2,1,1,,0.6,5
3,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0]",3,0,0,,0.6,5
4,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0]",4,0,0,,0.6,5
5,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,1,"[0, 0, 1, 1, 0]",0,0,0,,0.6,5
6,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,1,"[0, 0, 1, 1, 0]",1,0,0,,0.6,5
7,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,1,"[0, 0, 1, 1, 0]",2,1,1,,0.6,5
8,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,1,"[0, 0, 1, 1, 0]",3,1,1,,0.6,5
9,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,1,"[0, 0, 1, 1, 0]",4,0,0,,0.6,5
10,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,2,"[1, 0, 1, 1, 1]",0,1,-1,,0.6,5
11,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,2,"[1, 0, 1, 1, 1]",1,0,0,,0.6,5
12,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,2,"[1, 0, 1, 1, 1]",2,1,-1,,0.6,5
13,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,2,"[1, 0, 1, 1, 1]",3,1,-1,,0.6,5
14,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,2,"[1, 0, 1, 1, 1]",4,1,-1,,0.6,5
15,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 0, 1, 1, 1]",0,1,-1,,0.6,5
16,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 0, 1, 1, 1]",1,0,0,,0.6,5
17,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 0, 1, 1, 1]",2,1,-1,,0.6,5
18,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 0, 1, 1, 1]",3,1,-1,,0.6,5
19,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 0, 1, 1, 1]",4,1,-1,,0.6,5
20,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,4,"[0, 1, 1, 0, 0]",0,0,0,,0.6,5
21,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,4,"[0, 1, 1, 0, 0]",1,1,1,,0.6,5
22,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,4,"[0, 1, 1, 0, 0]",2,1,1,,0.6,5
23,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,4,"[0, 1, 1, 0, 0]",3,0,0,,0.6,5
24,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,4,"[0, 1, 1, 0, 0]",4,0,0,,0.6,5
25,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 0, 1, 0, 1]",0,1,1,,0.6,5
26,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 0, 1, 0, 1]",1,0,0,,0.6,5
27,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 0, 1, 0, 1]",2,1,1,,0.6,5
28,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 0, 1, 0, 1]",3,0,0,,0.6,5
29,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 0, 1, 0, 1]",4,1,1,,0.6,5
30,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 0, 1, 0, 1]",0,1,1,,0.6,5
31,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 0, 1, 0, 1]",1,0,0,,0.6,5
32,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 0, 1, 0, 1]",2,1,1,,0.6,5
33,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 0, 1, 0, 1]",3,0,0,,0.6,5
34,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 0, 1, 0, 1]",4,1,1,,0.6,5
35,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 1]",0,1,1,,0.6,5
36,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 1]",1,1,1,,0.6,5
37,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 1]",2,0,0,,0.6,5
38,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 1]",3,0,0,,0.6,5
39,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 1]",4,1,1,,0.6,5
40,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 0, 1, 1, 0]",0,0,0,,0.6,5
41,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 0, 1, 1, 0]",1,0,0,,0.6,5
42,feafd50f-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 0, 1, 1, 0]",2,1,1,,0.6,5
