model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality
FRA+Payoff+Attendance_downwards,0.375,8,c29774e0-cae3-11f0-b9e2-d094662e0881,-0.3,-0.7999999999999999,0.06666666666666667
FRA+Payoff+Attendance_downwards,0.375,8,c29d9c08-cae3-11f0-b9e2-d094662e0881,-0.21666666666666667,-0.5777777777777778,0.09085135251589958
FRA+Payoff+Attendance_downwards,0.375,8,c2a3c95c-cae3-11f0-b9e2-d094662e0881,-0.32916666666666666,-0.8777777777777778,0.06283639628760308
FRA+Payoff+Attendance_downwards,0.375,8,c2a9f160-cae3-11f0-b9e2-d094662e0881,-0.22083333333333333,-0.5888888888888889,0.10974356834753822
FRA+Payoff+Attendance_downwards,0.375,8,c2b017f2-cae3-11f0-b9e2-d094662e0881,-0.29583333333333334,-0.7888888888888889,0.08439796130841
FRA+Payoff+Attendance_downwards,0.375,8,c2b63a74-cae3-11f0-b9e2-d094662e0881,-0.25416666666666665,-0.6777777777777777,0.11538410663298504
FRA+Payoff+Attendance_downwards,0.375,8,c2bc57f6-cae3-11f0-b9e2-d094662e0881,-0.3375,-0.9,0.08249579113843056
FRA+Payoff+Attendance_downwards,0.375,8,c2c28356-cae3-11f0-b9e2-d094662e0881,-0.4375,-1.1666666666666667,0.060257384451636975
FRA+Payoff+Attendance_downwards,0.375,8,c2c8a826-cae3-11f0-b9e2-d094662e0881,-0.2125,-0.5666666666666667,0.09748829803606304
FRA+Payoff+Attendance_downwards,0.375,8,c2ced1d8-cae3-11f0-b9e2-d094662e0881,-0.225,-0.6,0.07071067811865475
FRA+Payoff+Attendance_downwards,0.375,8,c2d4fe28-cae3-11f0-b9e2-d094662e0881,-0.4625,-1.2333333333333334,0.10455878577403088
FRA+Payoff+Attendance_downwards,0.375,8,c2db23c0-cae3-11f0-b9e2-d094662e0881,-0.43333333333333335,-1.1555555555555557,0.07346308866924531
FRA+Payoff+Attendance_downwards,0.375,8,c2e1467e-cae3-11f0-b9e2-d094662e0881,-0.36666666666666664,-0.9777777777777777,0.10079052613579392
FRA+Payoff+Attendance_downwards,0.375,8,c2e76680-cae3-11f0-b9e2-d094662e0881,-0.3875,-1.0333333333333334,0.08717342685248956
FRA+Payoff+Attendance_downwards,0.375,8,c2ed860a-cae3-11f0-b9e2-d094662e0881,-0.25833333333333336,-0.688888888888889,0.10039604115384769
FRA+Payoff+Attendance_downwards,0.4,5,c220b116-cae3-11f0-b9e2-d094662e0881,-0.24666666666666667,-0.6166666666666668,0.09006170724070862
FRA+Payoff+Attendance_downwards,0.4,5,c224a5f0-cae3-11f0-b9e2-d094662e0881,-0.2,-0.5000000000000001,0.13944333775567927
FRA+Payoff+Attendance_downwards,0.4,5,c228a4ac-cae3-11f0-b9e2-d094662e0881,-0.24666666666666667,-0.6166666666666668,0.08027729719194862
