,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",0,0,0,,0.375,8
1,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",1,1,-1,,0.375,8
2,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",2,1,-1,,0.375,8
3,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",3,0,0,,0.375,8
4,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",4,0,0,,0.375,8
5,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",5,1,-1,,0.375,8
6,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",6,1,-1,,0.375,8
7,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,0,"[0, 1, 1, 0, 0, 1, 1, 0]",7,0,0,,0.375,8
8,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",0,1,1,,0.375,8
9,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",1,1,1,,0.375,8
10,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",2,0,0,,0.375,8
11,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",3,0,0,,0.375,8
12,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",4,0,0,,0.375,8
13,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",5,1,1,,0.375,8
14,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",6,0,0,,0.375,8
15,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,1,"[1, 1, 0, 0, 0, 1, 0, 0]",7,0,0,,0.375,8
16,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",0,0,0,,0.375,8
17,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",1,1,-1,,0.375,8
18,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",2,1,-1,,0.375,8
19,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",3,1,-1,,0.375,8
20,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",4,1,-1,,0.375,8
21,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",5,1,-1,,0.375,8
22,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",6,0,0,,0.375,8
23,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,2,"[0, 1, 1, 1, 1, 1, 0, 0]",7,0,0,,0.375,8
24,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",0,1,-1,,0.375,8
25,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",1,1,-1,,0.375,8
26,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",2,1,-1,,0.375,8
27,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",3,1,-1,,0.375,8
28,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",4,1,-1,,0.375,8
29,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",5,1,-1,,0.375,8
30,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",6,1,-1,,0.375,8
31,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,3,"[1, 1, 1, 1, 1, 1, 1, 0]",7,0,0,,0.375,8
32,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",0,1,1,,0.375,8
33,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",1,0,0,,0.375,8
34,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",2,1,1,,0.375,8
35,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",3,0,0,,0.375,8
36,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",4,0,0,,0.375,8
37,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",5,0,0,,0.375,8
38,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",6,0,0,,0.375,8
39,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,4,"[1, 0, 1, 0, 0, 0, 0, 1]",7,1,1,,0.375,8
40,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",0,1,-1,,0.375,8
41,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",1,1,-1,,0.375,8
42,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",2,0,0,,0.375,8
43,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",3,1,-1,,0.375,8
44,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",4,0,0,,0.375,8
45,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",5,0,0,,0.375,8
46,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",6,1,-1,,0.375,8
47,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,5,"[1, 1, 0, 1, 0, 0, 1, 0]",7,0,0,,0.375,8
48,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",0,1,-1,,0.375,8
49,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",1,1,-1,,0.375,8
50,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",2,0,0,,0.375,8
51,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",3,1,-1,,0.375,8
52,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",4,1,-1,,0.375,8
53,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",5,0,0,,0.375,8
54,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",6,1,-1,,0.375,8
55,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,6,"[1, 1, 0, 1, 1, 0, 1, 0]",7,0,0,,0.375,8
56,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",0,1,1,,0.375,8
57,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",1,1,1,,0.375,8
58,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",2,0,0,,0.375,8
59,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",3,0,0,,0.375,8
60,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",4,0,0,,0.375,8
61,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",5,0,0,,0.375,8
62,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",6,0,0,,0.375,8
63,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,7,"[1, 1, 0, 0, 0, 0, 0, 0]",7,0,0,,0.375,8
64,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",0,0,0,,0.375,8
65,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",1,1,1,,0.375,8
66,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",2,0,0,,0.375,8
67,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",3,0,0,,0.375,8
68,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",4,0,0,,0.375,8
69,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",5,1,1,,0.375,8
70,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",6,1,1,,0.375,8
71,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,8,"[0, 1, 0, 0, 0, 1, 1, 0]",7,0,0,,0.375,8
72,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",0,1,-1,,0.375,8
73,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",1,0,0,,0.375,8
74,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",2,1,-1,,0.375,8
75,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",3,1,-1,,0.375,8
76,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",4,0,0,,0.375,8
77,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",5,0,0,,0.375,8
78,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",6,1,-1,,0.375,8
79,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,9,"[1, 0, 1, 1, 0, 0, 1, 1]",7,1,-1,,0.375,8
80,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",0,1,-1,,0.375,8
81,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",1,0,0,,0.375,8
82,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",2,1,-1,,0.375,8
83,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",3,1,-1,,0.375,8
84,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",4,0,0,,0.375,8
85,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",5,0,0,,0.375,8
86,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",6,0,0,,0.375,8
87,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,10,"[1, 0, 1, 1, 0, 0, 0, 1]",7,1,-1,,0.375,8
88,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,11,"[1, 0, 0, 1, 1, 0, 1, 1]",0,1,-1,,0.375,8
89,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,11,"[1, 0, 0, 1, 1, 0, 1, 1]",1,0,0,,0.375,8
90,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,11,"[1, 0, 0, 1, 1, 0, 1, 1]",2,0,0,,0.375,8
91,fd91a187-94c1-11f0-84a1-b48c9db4e1b4,11,"[1, 0, 0, 1, 1, 0, 1, 1]",3,1,-1,,0.375,8
