,Unnamed: 0,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,0,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.25,12
1,1,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",1,0,0,FRA+Payoff+Attendance_upwards,0.25,12
2,2,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",2,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
3,3,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",3,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
4,4,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",4,0,0,FRA+Payoff+Attendance_upwards,0.25,12
5,5,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",5,0,0,FRA+Payoff+Attendance_upwards,0.25,12
6,6,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",6,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
7,7,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",7,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
8,8,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",8,0,0,FRA+Payoff+Attendance_upwards,0.25,12
9,9,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",9,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
10,10,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
11,11,c69e86f8-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",11,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
12,12,c69e86f8-caea-11f0-b3b3-d094662e0881,1,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
13,13,c69e86f8-caea-11f0-b3b3-d094662e0881,1,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",1,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
14,14,c69e86f8-caea-11f0-b3b3-d094662e0881,1,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",2,1,-1,FRA+Payoff+Attendance_upwards,0.25,12
15,15,c69e86f8-caea-11f0-b3b3-d094662e0881,1,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.25,12
