,model,target,params
10,Attendance-M2,0.493015873015873,"{'inverse_temperature': np.float64(19.997098542089446), 'learning_rate': np.float64(0.28893824477107344), 'bias': np.float64(0.44643649561049004)}"
11,Attendance-M3,0.446984126984127,"{'inverse_temperature': np.float64(20.274081945459578), 'learning_rate': np.float64(0.5492750979407851), 'bias': np.float64(0.701209765029225)}"
12,AvailableSpace-M1,0.5,"{'inverse_temperature': np.float64(20.046952075805905), 'learning_rate': np.float64(0.14675589081711304), 'bias': np.float64(0.0923385947687978)}"
13,AvailableSpace-M2,0.5,"{'inverse_temperature': np.float64(36.197459192082356), 'learning_rate': np.float64(0.15501079819436425), 'bias': np.float64(0.9060965093990814)}"
14,AvailableSpace-M3,0.5,"{'inverse_temperature': np.float64(36.197459192082356), 'learning_rate': np.float64(0.15501079819436425), 'bias': np.float64(0.9060965093990814)}"
15,Fairness-M1,0.49777777777777776,"{'inverse_temperature': np.float64(20.046952075805905), 'learning_rate': np.float64(0.14675589081711304), 'bias': np.float64(0.0923385947687978)}"
16,Fairness-M2,0.4926984126984127,"{'inverse_temperature': np.float64(20.47833667312604), 'learning_rate': np.float64(0.18911973498183893), 'bias': np.float64(0.01)}"
17,Fairness-M3,0.37746031746031744,"{'inverse_temperature': np.float64(20.241994685437792), 'learning_rate': np.float64(0.29424322534198605), 'bias': np.float64(0.06966708609664841)}"
18,MFP-M1,0.5,"{'inverse_temperature': np.float64(27.272386296262162), 'belief_strength': np.float64(72.31212485077366)}"
19,MFP-M2,0.5,"{'inverse_temperature': np.float64(14.544518036833349), 'belief_strength': np.float64(3.225014102528389)}"
20,MFP-M3,0.5,"{'inverse_temperature': np.float64(37.97885354665385), 'belief_strength': np.float64(1.0)}"
21,FRA,0.3742857142857143,"{'inverse_temperature': np.float64(48.15711261804855), 'len_history': np.float64(2.0549379778818775), 'max_regions': np.float64(4.0877527785762675), 'c': np.float64(0.6668482865781574)}"
22,FRA+Payoff+Attendance,0.4776190476190476,"{'inverse_temperature': np.float64(62.47473170966418), 'bias': np.float64(0.5824956315642531), 'learning_rate': np.float64(0.46082644523481026), 'len_history': np.float64(6.398657717363253), 'max_regions': np.float64(9.07180058798264), 'c': np.float64(0.0), 'delta': np.float64(0.5605817559312835)}"
