,Unnamed: 0,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,0,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",0,0,0,FRA+Payoff+Attendance_downwards,0.625,8
1,1,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",1,0,0,FRA+Payoff+Attendance_downwards,0.625,8
2,2,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",2,1,1,FRA+Payoff+Attendance_downwards,0.625,8
3,3,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",3,1,1,FRA+Payoff+Attendance_downwards,0.625,8
4,4,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",4,0,0,FRA+Payoff+Attendance_downwards,0.625,8
5,5,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",5,0,0,FRA+Payoff+Attendance_downwards,0.625,8
6,6,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",6,1,1,FRA+Payoff+Attendance_downwards,0.625,8
7,7,6b9c65b8-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1]",7,1,1,FRA+Payoff+Attendance_downwards,0.625,8
8,8,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",0,1,1,FRA+Payoff+Attendance_downwards,0.625,8
9,9,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",1,0,0,FRA+Payoff+Attendance_downwards,0.625,8
10,10,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",2,1,1,FRA+Payoff+Attendance_downwards,0.625,8
11,11,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",3,0,0,FRA+Payoff+Attendance_downwards,0.625,8
12,12,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",4,0,0,FRA+Payoff+Attendance_downwards,0.625,8
13,13,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",5,1,1,FRA+Payoff+Attendance_downwards,0.625,8
14,14,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",6,1,1,FRA+Payoff+Attendance_downwards,0.625,8
15,15,6b9c65b8-a466-11f0-be40-d094662e0881,1,"[1, 0, 1, 0, 0, 1, 1, 1]",7,1,1,FRA+Payoff+Attendance_downwards,0.625,8
16,16,6b9c65b8-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0, 1, 1]",0,0,0,FRA+Payoff+Attendance_downwards,0.625,8
17,17,6b9c65b8-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0, 1, 1]",1,1,1,FRA+Payoff+Attendance_downwards,0.625,8
18,18,6b9c65b8-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0, 1, 1]",2,0,0,FRA+Payoff+Attendance_downwards,0.625,8
19,19,6b9c65b8-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0, 1, 1]",3,0,0,FRA+Payoff+Attendance_downwards,0.625,8
20,20,6b9c65b8-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0, 1, 1]",4,0,0,FRA+Payoff+Attendance_downwards,0.625,8
