,Unnamed: 0,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,0,c35cc00e-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
1,1,c35cc00e-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
2,2,c35cc00e-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
3,3,c35cc00e-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.6,5
4,4,c35cc00e-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
5,5,c35cc00e-caea-11f0-b3b3-d094662e0881,1,"[0, 1, 1, 0, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
6,6,c35cc00e-caea-11f0-b3b3-d094662e0881,1,"[0, 1, 1, 0, 1]",1,1,1,FRA+Payoff+Attendance_upwards,0.6,5
7,7,c35cc00e-caea-11f0-b3b3-d094662e0881,1,"[0, 1, 1, 0, 1]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
8,8,c35cc00e-caea-11f0-b3b3-d094662e0881,1,"[0, 1, 1, 0, 1]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
9,9,c35cc00e-caea-11f0-b3b3-d094662e0881,1,"[0, 1, 1, 0, 1]",4,1,1,FRA+Payoff+Attendance_upwards,0.6,5
10,10,c35cc00e-caea-11f0-b3b3-d094662e0881,2,"[0, 0, 1, 0, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
11,11,c35cc00e-caea-11f0-b3b3-d094662e0881,2,"[0, 0, 1, 0, 1]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
12,12,c35cc00e-caea-11f0-b3b3-d094662e0881,2,"[0, 0, 1, 0, 1]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
13,13,c35cc00e-caea-11f0-b3b3-d094662e0881,2,"[0, 0, 1, 0, 1]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
14,14,c35cc00e-caea-11f0-b3b3-d094662e0881,2,"[0, 0, 1, 0, 1]",4,1,1,FRA+Payoff+Attendance_upwards,0.6,5
15,15,c35cc00e-caea-11f0-b3b3-d094662e0881,3,"[0, 1, 1, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
16,16,c35cc00e-caea-11f0-b3b3-d094662e0881,3,"[0, 1, 1, 0, 0]",1,1,1,FRA+Payoff+Attendance_upwards,0.6,5
17,17,c35cc00e-caea-11f0-b3b3-d094662e0881,3,"[0, 1, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
18,18,c35cc00e-caea-11f0-b3b3-d094662e0881,3,"[0, 1, 1, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
19,19,c35cc00e-caea-11f0-b3b3-d094662e0881,3,"[0, 1, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
20,20,c35cc00e-caea-11f0-b3b3-d094662e0881,4,"[0, 0, 1, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
21,21,c35cc00e-caea-11f0-b3b3-d094662e0881,4,"[0, 0, 1, 0, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
22,22,c35cc00e-caea-11f0-b3b3-d094662e0881,4,"[0, 0, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
23,23,c35cc00e-caea-11f0-b3b3-d094662e0881,4,"[0, 0, 1, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
24,24,c35cc00e-caea-11f0-b3b3-d094662e0881,4,"[0, 0, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
25,25,c35cc00e-caea-11f0-b3b3-d094662e0881,5,"[1, 0, 1, 0, 0]",0,1,1,FRA+Payoff+Attendance_upwards,0.6,5
26,26,c35cc00e-caea-11f0-b3b3-d094662e0881,5,"[1, 0, 1, 0, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
27,27,c35cc00e-caea-11f0-b3b3-d094662e0881,5,"[1, 0, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
28,28,c35cc00e-caea-11f0-b3b3-d094662e0881,5,"[1, 0, 1, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
29,29,c35cc00e-caea-11f0-b3b3-d094662e0881,5,"[1, 0, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
30,30,c35cc00e-caea-11f0-b3b3-d094662e0881,6,"[0, 0, 1, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
31,31,c35cc00e-caea-11f0-b3b3-d094662e0881,6,"[0, 0, 1, 0, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
32,32,c35cc00e-caea-11f0-b3b3-d094662e0881,6,"[0, 0, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
33,33,c35cc00e-caea-11f0-b3b3-d094662e0881,6,"[0, 0, 1, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.6,5
34,34,c35cc00e-caea-11f0-b3b3-d094662e0881,6,"[0, 0, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
35,35,c35cc00e-caea-11f0-b3b3-d094662e0881,7,"[0, 0, 1, 1, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
36,36,c35cc00e-caea-11f0-b3b3-d094662e0881,7,"[0, 0, 1, 1, 1]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
37,37,c35cc00e-caea-11f0-b3b3-d094662e0881,7,"[0, 0, 1, 1, 1]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
38,38,c35cc00e-caea-11f0-b3b3-d094662e0881,7,"[0, 0, 1, 1, 1]",3,1,1,FRA+Payoff+Attendance_upwards,0.6,5
39,39,c35cc00e-caea-11f0-b3b3-d094662e0881,7,"[0, 0, 1, 1, 1]",4,1,1,FRA+Payoff+Attendance_upwards,0.6,5
40,40,c35cc00e-caea-11f0-b3b3-d094662e0881,8,"[1, 0, 0, 1, 0]",0,1,1,FRA+Payoff+Attendance_upwards,0.6,5
41,41,c35cc00e-caea-11f0-b3b3-d094662e0881,8,"[1, 0, 0, 1, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
42,42,c35cc00e-caea-11f0-b3b3-d094662e0881,8,"[1, 0, 0, 1, 0]",2,0,0,FRA+Payoff+Attendance_upwards,0.6,5
43,43,c35cc00e-caea-11f0-b3b3-d094662e0881,8,"[1, 0, 0, 1, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.6,5
44,44,c35cc00e-caea-11f0-b3b3-d094662e0881,8,"[1, 0, 0, 1, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6,5
45,45,c35cc00e-caea-11f0-b3b3-d094662e0881,9,"[0, 0, 1, 1, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
46,46,c35cc00e-caea-11f0-b3b3-d094662e0881,9,"[0, 0, 1, 1, 1]",1,0,0,FRA+Payoff+Attendance_upwards,0.6,5
47,47,c35cc00e-caea-11f0-b3b3-d094662e0881,9,"[0, 0, 1, 1, 1]",2,1,1,FRA+Payoff+Attendance_upwards,0.6,5
48,48,c35cc00e-caea-11f0-b3b3-d094662e0881,9,"[0, 0, 1, 1, 1]",3,1,1,FRA+Payoff+Attendance_upwards,0.6,5
49,49,c35cc00e-caea-11f0-b3b3-d094662e0881,9,"[0, 0, 1, 1, 1]",4,1,1,FRA+Payoff+Attendance_upwards,0.6,5
50,50,c35cc00e-caea-11f0-b3b3-d094662e0881,10,"[0, 1, 1, 0, 1]",0,0,0,FRA+Payoff+Attendance_upwards,0.6,5
51,51,c35cc00e-caea-11f0-b3b3-d094662e0881,10,"[0, 1, 1, 0, 1]",1,1,1,FRA+Payoff+Attendance_upwards,0.6,5
