model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality,bounded_inequality
FRA+Payoff+Attendance_downwards,0.375,8,f4f85c22-d3cd-11f0-bcd4-d094662e0881,-0.2,-0.5333333333333333,0.04714045207910317,0.1257078722109418
FRA+Payoff+Attendance_downwards,0.375,8,f5015142-d3cd-11f0-bcd4-d094662e0881,-0.24583333333333332,-0.6555555555555556,0.07113032974423646,0.18968087931796385
FRA+Payoff+Attendance_downwards,0.375,8,f50a3f8c-d3cd-11f0-bcd4-d094662e0881,-0.2791666666666667,-0.7444444444444445,0.08897565210026093,0.2372684056006958
FRA+Payoff+Attendance_downwards,0.375,8,f51333bc-d3cd-11f0-bcd4-d094662e0881,-0.3333333333333333,-0.8888888888888888,0.10983392947305519,0.2928904785948139
FRA+Payoff+Attendance_downwards,0.375,8,f51c2f1c-d3cd-11f0-bcd4-d094662e0881,-0.25,-0.6666666666666666,0.08908708063747478,0.23756554836659943
FRA+Payoff+Attendance_downwards,0.375,8,f5250e3e-d3cd-11f0-bcd4-d094662e0881,-0.49583333333333335,-1.3222222222222222,0.07223748312513363,0.19263328833368962
FRA+Payoff+Attendance_downwards,0.375,8,f52dfe0e-d3cd-11f0-bcd4-d094662e0881,-0.25416666666666665,-0.6777777777777777,0.13444477239891786,0.358519393063781
FRA+Payoff+Attendance_downwards,0.375,8,f536e2a8-d3cd-11f0-bcd4-d094662e0881,-0.24166666666666667,-0.6444444444444445,0.06107502542086028,0.1628667344556274
FRA+Payoff+Attendance_downwards,0.375,8,f53fdfca-d3cd-11f0-bcd4-d094662e0881,-0.3375,-0.9,0.08249579113843056,0.21998877636914813
FRA+Payoff+Attendance_downwards,0.375,8,f548d9cc-d3cd-11f0-bcd4-d094662e0881,-0.3416666666666667,-0.9111111111111111,0.12940645944477328,0.3450838918527287
FRA+Payoff+Attendance_downwards,0.375,8,f551df0e-d3cd-11f0-bcd4-d094662e0881,-0.16666666666666666,-0.4444444444444444,0.11952286093343935,0.3187276291558383
FRA+Payoff+Attendance_downwards,0.375,8,f55ad168-d3cd-11f0-bcd4-d094662e0881,-0.1,-0.26666666666666666,0.11818736805705576,0.3151663148188154
FRA+Payoff+Attendance_downwards,0.375,8,f563b490-d3cd-11f0-bcd4-d094662e0881,-0.43333333333333335,-1.1555555555555557,0.09759000729485333,0.2602400194529422
FRA+Payoff+Attendance_downwards,0.375,8,f56cb04a-d3cd-11f0-bcd4-d094662e0881,-0.4166666666666667,-1.1111111111111112,0.15936381457791915,0.4249701722077844
FRA+Payoff+Attendance_downwards,0.375,8,f5759264-d3cd-11f0-bcd4-d094662e0881,-0.17916666666666667,-0.4777777777777778,0.07955730688858867,0.2121528183695698
FRA+Payoff+Attendance_downwards,0.375,8,f57e9026-d3cd-11f0-bcd4-d094662e0881,-0.21666666666666667,-0.5777777777777778,0.07559289460184544,0.20158105227158785
FRA+Payoff+Attendance_downwards,0.375,8,f5878a50-d3cd-11f0-bcd4-d094662e0881,-0.3,-0.7999999999999999,0.0908513525158996,0.24227027337573223
FRA+Payoff+Attendance_downwards,0.375,8,f59060f8-d3cd-11f0-bcd4-d094662e0881,-0.17916666666666667,-0.4777777777777778,0.08345229603962802,0.22253945610567472
FRA+Payoff+Attendance_downwards,0.375,8,f5994dc6-d3cd-11f0-bcd4-d094662e0881,-0.5375,-1.4333333333333333,0.08625819491779425,0.23002185311411796
FRA+Payoff+Attendance_downwards,0.4,5,f473f61c-d3cd-11f0-bcd4-d094662e0881,-0.18,-0.44999999999999996,0.029814239699997202,0.074535599249993
FRA+Payoff+Attendance_downwards,0.4,5,f47a1088-d3cd-11f0-bcd4-d094662e0881,-0.2733333333333333,-0.6833333333333332,0.07958224257542214,0.19895560643855534
FRA+Payoff+Attendance_downwards,0.4,5,f4802bda-d3cd-11f0-bcd4-d094662e0881,-0.3,-0.7499999999999999,0.05270462766947298,0.13176156917368242
FRA+Payoff+Attendance_downwards,0.4,5,f4864d08-d3cd-11f0-bcd4-d094662e0881,-0.30666666666666664,-0.7666666666666666,0.08628119403696523,0.21570298509241306
FRA+Payoff+Attendance_downwards,0.4,5,f48c627e-d3cd-11f0-bcd4-d094662e0881,-0.2,-0.5,0.0816496580927726,0.20412414523193148
FRA+Payoff+Attendance_downwards,0.4,5,f4928654-d3cd-11f0-bcd4-d094662e0881,-0.23333333333333334,-0.5833333333333333,0.06666666666666667,0.16666666666666663
FRA+Payoff+Attendance_downwards,0.4,5,f498b060-d3cd-11f0-bcd4-d094662e0881,-0.34,-0.85,0.10903618155864084,0.2725904538966021
FRA+Payoff+Attendance_downwards,0.4,5,f49ec93c-d3cd-11f0-bcd4-d094662e0881,-0.22,-0.5499999999999999,0.10434983894999018,0.2608745973749755
FRA+Payoff+Attendance_downwards,0.4,5,f4a4e484-d3cd-11f0-bcd4-d094662e0881,-0.08666666666666667,-0.21666666666666667,0.08366600265340755,0.2091650066335189
FRA+Payoff+Attendance_downwards,0.4,5,f4ab0526-d3cd-11f0-bcd4-d094662e0881,-0.36,-0.8999999999999999,0.06411794687223782,0.16029486718059455
FRA+Payoff+Attendance_downwards,0.4,5,f4b136c6-d3cd-11f0-bcd4-d094662e0881,-0.32666666666666666,-0.8166666666666667,0.13621877827801698,0.34054694569504246
FRA+Payoff+Attendance_downwards,0.4,5,f4b763a2-d3cd-11f0-bcd4-d094662e0881,-0.16666666666666666,-0.41666666666666663,0.06666666666666667,0.16666666666666666
FRA+Payoff+Attendance_downwards,0.4,5,f4bd89e4-d3cd-11f0-bcd4-d094662e0881,-0.2733333333333333,-0.6833333333333332,0.08944271909999159,0.22360679774997896
FRA+Payoff+Attendance_downwards,0.4,5,f4c3af4a-d3cd-11f0-bcd4-d094662e0881,-0.06,-0.15,0.07226494462892932,0.18066236157232332
FRA+Payoff+Attendance_downwards,0.4,5,f4c9dc30-d3cd-11f0-bcd4-d094662e0881,-0.18,-0.44999999999999996,0.0649786289653931,0.16244657241348273
FRA+Payoff+Attendance_downwards,0.4,5,f4d00ab0-d3cd-11f0-bcd4-d094662e0881,-0.13333333333333333,-0.3333333333333333,0.13944333775567924,0.3486083443891981
FRA+Payoff+Attendance_downwards,0.4,5,f4d62d1e-d3cd-11f0-bcd4-d094662e0881,-0.17333333333333334,-0.43333333333333335,0.12337837015547831,0.30844592538869575
FRA+Payoff+Attendance_downwards,0.4,5,f4dc4f64-d3cd-11f0-bcd4-d094662e0881,-0.15333333333333332,-0.3833333333333333,0.0767390962214756,0.19184774055368894
FRA+Payoff+Attendance_downwards,0.4,5,f4e26ca0-d3cd-11f0-bcd4-d094662e0881,-0.013333333333333334,-0.03333333333333333,0.10954451150103323,0.27386127875258304
FRA+Payoff+Attendance_downwards,0.4,5,f4e8af5c-d3cd-11f0-bcd4-d094662e0881,-0.24,-0.6,0.0641179468722378,0.16029486718059452
FRA+Payoff+Attendance_downwards,0.5,4,e7c3d98c-d3cd-11f0-bcd4-d094662e0881,0.13333333333333333,0.26666666666666666,0.16329931618554522,0.32659863237109044
