model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality
FRA+Payoff+Attendance_upwards,0.25,12,68dbc684-a466-11f0-be40-d094662e0881,-0.3527777777777778,-1.4111111111111112,0.11232918195128601
FRA+Payoff+Attendance_upwards,0.2727272727272727,11,6970e98a-a466-11f0-be40-d094662e0881,-0.4303030303030303,-1.5777777777777782,0.058603271532768834
FRA+Payoff+Attendance_upwards,0.3333333333333333,3,6926ebfa-a466-11f0-be40-d094662e0881,-0.4666666666666667,-1.4000000000000006,0.10183501544346311
FRA+Payoff+Attendance_upwards,0.3333333333333333,3,692db764-a466-11f0-be40-d094662e0881,-0.2074074074074074,-0.6222222222222225,0.08413197549333738
FRA+Payoff+Attendance_upwards,0.3333333333333333,3,693480e4-a466-11f0-be40-d094662e0881,-0.4666666666666667,-1.4000000000000006,0.044444444444444425
FRA+Payoff+Attendance_upwards,0.3333333333333333,3,693b5eaa-a466-11f0-be40-d094662e0881,-0.4148148148148148,-1.244444444444445,0.08981004187394177
FRA+Payoff+Attendance_upwards,0.3333333333333333,3,694228b6-a466-11f0-be40-d094662e0881,-0.3111111111111111,-0.9333333333333337,0.16777409856157222
FRA+Payoff+Attendance_upwards,0.3333333333333333,6,69c706da-a466-11f0-be40-d094662e0881,-0.3055555555555556,-0.9166666666666667,0.15834795254146505
FRA+Payoff+Attendance_upwards,0.3333333333333333,6,69cd02b0-a466-11f0-be40-d094662e0881,-0.37777777777777777,-1.1333333333333333,0.08606629658238704
FRA+Payoff+Attendance_upwards,0.3333333333333333,9,698c8712-a466-11f0-be40-d094662e0881,-0.4740740740740741,-1.4222222222222225,0.06620208493229435
FRA+Payoff+Attendance_upwards,0.375,8,67e38ea6-a466-11f0-be40-d094662e0881,-0.30833333333333335,-0.8222222222222223,0.1318368399991155
FRA+Payoff+Attendance_upwards,0.4,5,6964c740-a466-11f0-be40-d094662e0881,-0.14,-0.3500000000000001,0.1460593486680443
FRA+Payoff+Attendance_upwards,0.4,5,6969209c-a466-11f0-be40-d094662e0881,-0.2866666666666667,-0.7166666666666669,0.09006170724070865
FRA+Payoff+Attendance_upwards,0.4285714285714285,7,6996ec2a-a466-11f0-be40-d094662e0881,-0.4380952380952381,-1.0222222222222224,0.06214848238238696
FRA+Payoff+Attendance_upwards,0.4285714285714285,7,699ce4ae-a466-11f0-be40-d094662e0881,-0.3238095238095238,-0.7555555555555556,0.11338934190276817
FRA+Payoff+Attendance_upwards,0.4545454545454545,11,69d6f946-a466-11f0-be40-d094662e0881,-0.27575757575757576,-0.6066666666666668,0.1136181803634036
FRA+Payoff+Attendance_upwards,0.5,4,67754504-a466-11f0-be40-d094662e0881,-0.175,-0.35,0.03191423692521128
FRA+Payoff+Attendance_upwards,0.5,4,6778dd40-a466-11f0-be40-d094662e0881,0.125,0.25,0.08766518798921946
FRA+Payoff+Attendance_upwards,0.5,4,677c71b2-a466-11f0-be40-d094662e0881,0.016666666666666666,0.03333333333333333,0.14782371884055634
FRA+Payoff+Attendance_upwards,0.5,4,67800656-a466-11f0-be40-d094662e0881,0.0,0.0,0.09813067629253164
