,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents,delta
0,43187b15-8864-11f1-98a7-b48c9db4e1b4,0,"[1, 0, 1, 1]",0,1,-1,,0.5,4,0.8016897943521991
1,43187b15-8864-11f1-98a7-b48c9db4e1b4,0,"[1, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
2,43187b15-8864-11f1-98a7-b48c9db4e1b4,0,"[1, 0, 1, 1]",2,1,-1,,0.5,4,0.8016897943521991
3,43187b15-8864-11f1-98a7-b48c9db4e1b4,0,"[1, 0, 1, 1]",3,1,-1,,0.5,4,0.8016897943521991
4,43187b15-8864-11f1-98a7-b48c9db4e1b4,1,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
5,43187b15-8864-11f1-98a7-b48c9db4e1b4,1,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
6,43187b15-8864-11f1-98a7-b48c9db4e1b4,1,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
7,43187b15-8864-11f1-98a7-b48c9db4e1b4,1,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
8,43187b15-8864-11f1-98a7-b48c9db4e1b4,2,"[0, 1, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
9,43187b15-8864-11f1-98a7-b48c9db4e1b4,2,"[0, 1, 0, 1]",1,1,1,,0.5,4,0.8016897943521991
10,43187b15-8864-11f1-98a7-b48c9db4e1b4,2,"[0, 1, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
11,43187b15-8864-11f1-98a7-b48c9db4e1b4,2,"[0, 1, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
12,43187b15-8864-11f1-98a7-b48c9db4e1b4,3,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
13,43187b15-8864-11f1-98a7-b48c9db4e1b4,3,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
14,43187b15-8864-11f1-98a7-b48c9db4e1b4,3,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
15,43187b15-8864-11f1-98a7-b48c9db4e1b4,3,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
16,43187b15-8864-11f1-98a7-b48c9db4e1b4,4,"[1, 0, 1, 0]",0,1,1,,0.5,4,0.8016897943521991
17,43187b15-8864-11f1-98a7-b48c9db4e1b4,4,"[1, 0, 1, 0]",1,0,0,,0.5,4,0.8016897943521991
18,43187b15-8864-11f1-98a7-b48c9db4e1b4,4,"[1, 0, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
19,43187b15-8864-11f1-98a7-b48c9db4e1b4,4,"[1, 0, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
20,43187b15-8864-11f1-98a7-b48c9db4e1b4,5,"[1, 0, 1, 1]",0,1,-1,,0.5,4,0.8016897943521991
21,43187b15-8864-11f1-98a7-b48c9db4e1b4,5,"[1, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
22,43187b15-8864-11f1-98a7-b48c9db4e1b4,5,"[1, 0, 1, 1]",2,1,-1,,0.5,4,0.8016897943521991
23,43187b15-8864-11f1-98a7-b48c9db4e1b4,5,"[1, 0, 1, 1]",3,1,-1,,0.5,4,0.8016897943521991
24,43187b15-8864-11f1-98a7-b48c9db4e1b4,6,"[0, 1, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
25,43187b15-8864-11f1-98a7-b48c9db4e1b4,6,"[0, 1, 0, 1]",1,1,1,,0.5,4,0.8016897943521991
26,43187b15-8864-11f1-98a7-b48c9db4e1b4,6,"[0, 1, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
27,43187b15-8864-11f1-98a7-b48c9db4e1b4,6,"[0, 1, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
28,43187b15-8864-11f1-98a7-b48c9db4e1b4,7,"[0, 1, 0, 0]",0,0,0,,0.5,4,0.8016897943521991
29,43187b15-8864-11f1-98a7-b48c9db4e1b4,7,"[0, 1, 0, 0]",1,1,1,,0.5,4,0.8016897943521991
30,43187b15-8864-11f1-98a7-b48c9db4e1b4,7,"[0, 1, 0, 0]",2,0,0,,0.5,4,0.8016897943521991
31,43187b15-8864-11f1-98a7-b48c9db4e1b4,7,"[0, 1, 0, 0]",3,0,0,,0.5,4,0.8016897943521991
32,43187b15-8864-11f1-98a7-b48c9db4e1b4,8,"[1, 0, 1, 0]",0,1,1,,0.5,4,0.8016897943521991
33,43187b15-8864-11f1-98a7-b48c9db4e1b4,8,"[1, 0, 1, 0]",1,0,0,,0.5,4,0.8016897943521991
34,43187b15-8864-11f1-98a7-b48c9db4e1b4,8,"[1, 0, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
35,43187b15-8864-11f1-98a7-b48c9db4e1b4,8,"[1, 0, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
36,43187b15-8864-11f1-98a7-b48c9db4e1b4,9,"[1, 0, 1, 1]",0,1,-1,,0.5,4,0.8016897943521991
37,43187b15-8864-11f1-98a7-b48c9db4e1b4,9,"[1, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
38,43187b15-8864-11f1-98a7-b48c9db4e1b4,9,"[1, 0, 1, 1]",2,1,-1,,0.5,4,0.8016897943521991
39,43187b15-8864-11f1-98a7-b48c9db4e1b4,9,"[1, 0, 1, 1]",3,1,-1,,0.5,4,0.8016897943521991
40,43187b15-8864-11f1-98a7-b48c9db4e1b4,10,"[0, 0, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
41,43187b15-8864-11f1-98a7-b48c9db4e1b4,10,"[0, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
42,43187b15-8864-11f1-98a7-b48c9db4e1b4,10,"[0, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
43,43187b15-8864-11f1-98a7-b48c9db4e1b4,10,"[0, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
44,43187b15-8864-11f1-98a7-b48c9db4e1b4,11,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
45,43187b15-8864-11f1-98a7-b48c9db4e1b4,11,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
46,43187b15-8864-11f1-98a7-b48c9db4e1b4,11,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
47,43187b15-8864-11f1-98a7-b48c9db4e1b4,11,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
48,43187b15-8864-11f1-98a7-b48c9db4e1b4,12,"[1, 0, 0, 0]",0,1,1,,0.5,4,0.8016897943521991
49,43187b15-8864-11f1-98a7-b48c9db4e1b4,12,"[1, 0, 0, 0]",1,0,0,,0.5,4,0.8016897943521991
50,43187b15-8864-11f1-98a7-b48c9db4e1b4,12,"[1, 0, 0, 0]",2,0,0,,0.5,4,0.8016897943521991
51,43187b15-8864-11f1-98a7-b48c9db4e1b4,12,"[1, 0, 0, 0]",3,0,0,,0.5,4,0.8016897943521991
52,43187b15-8864-11f1-98a7-b48c9db4e1b4,13,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
53,43187b15-8864-11f1-98a7-b48c9db4e1b4,13,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
54,43187b15-8864-11f1-98a7-b48c9db4e1b4,13,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
55,43187b15-8864-11f1-98a7-b48c9db4e1b4,13,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
56,43187b15-8864-11f1-98a7-b48c9db4e1b4,14,"[0, 0, 1, 1]",0,0,0,,0.5,4,0.8016897943521991
57,43187b15-8864-11f1-98a7-b48c9db4e1b4,14,"[0, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
58,43187b15-8864-11f1-98a7-b48c9db4e1b4,14,"[0, 0, 1, 1]",2,1,1,,0.5,4,0.8016897943521991
59,43187b15-8864-11f1-98a7-b48c9db4e1b4,14,"[0, 0, 1, 1]",3,1,1,,0.5,4,0.8016897943521991
60,43187b15-8864-11f1-98a7-b48c9db4e1b4,15,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
61,43187b15-8864-11f1-98a7-b48c9db4e1b4,15,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
62,43187b15-8864-11f1-98a7-b48c9db4e1b4,15,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
63,43187b15-8864-11f1-98a7-b48c9db4e1b4,15,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
64,43187b15-8864-11f1-98a7-b48c9db4e1b4,16,"[1, 1, 0, 0]",0,1,1,,0.5,4,0.8016897943521991
65,43187b15-8864-11f1-98a7-b48c9db4e1b4,16,"[1, 1, 0, 0]",1,1,1,,0.5,4,0.8016897943521991
66,43187b15-8864-11f1-98a7-b48c9db4e1b4,16,"[1, 1, 0, 0]",2,0,0,,0.5,4,0.8016897943521991
67,43187b15-8864-11f1-98a7-b48c9db4e1b4,16,"[1, 1, 0, 0]",3,0,0,,0.5,4,0.8016897943521991
68,43187b15-8864-11f1-98a7-b48c9db4e1b4,17,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
69,43187b15-8864-11f1-98a7-b48c9db4e1b4,17,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
70,43187b15-8864-11f1-98a7-b48c9db4e1b4,17,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
71,43187b15-8864-11f1-98a7-b48c9db4e1b4,17,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
72,43187b15-8864-11f1-98a7-b48c9db4e1b4,18,"[0, 0, 1, 1]",0,0,0,,0.5,4,0.8016897943521991
73,43187b15-8864-11f1-98a7-b48c9db4e1b4,18,"[0, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
74,43187b15-8864-11f1-98a7-b48c9db4e1b4,18,"[0, 0, 1, 1]",2,1,1,,0.5,4,0.8016897943521991
75,43187b15-8864-11f1-98a7-b48c9db4e1b4,18,"[0, 0, 1, 1]",3,1,1,,0.5,4,0.8016897943521991
76,43187b15-8864-11f1-98a7-b48c9db4e1b4,19,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
77,43187b15-8864-11f1-98a7-b48c9db4e1b4,19,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
78,43187b15-8864-11f1-98a7-b48c9db4e1b4,19,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
79,43187b15-8864-11f1-98a7-b48c9db4e1b4,19,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
80,4331440c-8864-11f1-99ea-b48c9db4e1b4,0,"[1, 1, 1, 0]",0,1,-1,,0.5,4,0.8016897943521991
81,4331440c-8864-11f1-99ea-b48c9db4e1b4,0,"[1, 1, 1, 0]",1,1,-1,,0.5,4,0.8016897943521991
82,4331440c-8864-11f1-99ea-b48c9db4e1b4,0,"[1, 1, 1, 0]",2,1,-1,,0.5,4,0.8016897943521991
83,4331440c-8864-11f1-99ea-b48c9db4e1b4,0,"[1, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
84,4331440c-8864-11f1-99ea-b48c9db4e1b4,1,"[1, 0, 1, 1]",0,1,-1,,0.5,4,0.8016897943521991
85,4331440c-8864-11f1-99ea-b48c9db4e1b4,1,"[1, 0, 1, 1]",1,0,0,,0.5,4,0.8016897943521991
86,4331440c-8864-11f1-99ea-b48c9db4e1b4,1,"[1, 0, 1, 1]",2,1,-1,,0.5,4,0.8016897943521991
87,4331440c-8864-11f1-99ea-b48c9db4e1b4,1,"[1, 0, 1, 1]",3,1,-1,,0.5,4,0.8016897943521991
88,4331440c-8864-11f1-99ea-b48c9db4e1b4,2,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
89,4331440c-8864-11f1-99ea-b48c9db4e1b4,2,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
90,4331440c-8864-11f1-99ea-b48c9db4e1b4,2,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
91,4331440c-8864-11f1-99ea-b48c9db4e1b4,2,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
92,4331440c-8864-11f1-99ea-b48c9db4e1b4,3,"[0, 1, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
93,4331440c-8864-11f1-99ea-b48c9db4e1b4,3,"[0, 1, 0, 1]",1,1,1,,0.5,4,0.8016897943521991
94,4331440c-8864-11f1-99ea-b48c9db4e1b4,3,"[0, 1, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
95,4331440c-8864-11f1-99ea-b48c9db4e1b4,3,"[0, 1, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
96,4331440c-8864-11f1-99ea-b48c9db4e1b4,4,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
97,4331440c-8864-11f1-99ea-b48c9db4e1b4,4,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
98,4331440c-8864-11f1-99ea-b48c9db4e1b4,4,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
99,4331440c-8864-11f1-99ea-b48c9db4e1b4,4,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
100,4331440c-8864-11f1-99ea-b48c9db4e1b4,5,"[1, 0, 1, 0]",0,1,1,,0.5,4,0.8016897943521991
101,4331440c-8864-11f1-99ea-b48c9db4e1b4,5,"[1, 0, 1, 0]",1,0,0,,0.5,4,0.8016897943521991
102,4331440c-8864-11f1-99ea-b48c9db4e1b4,5,"[1, 0, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
103,4331440c-8864-11f1-99ea-b48c9db4e1b4,5,"[1, 0, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
104,4331440c-8864-11f1-99ea-b48c9db4e1b4,6,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
105,4331440c-8864-11f1-99ea-b48c9db4e1b4,6,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
106,4331440c-8864-11f1-99ea-b48c9db4e1b4,6,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
107,4331440c-8864-11f1-99ea-b48c9db4e1b4,6,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
108,4331440c-8864-11f1-99ea-b48c9db4e1b4,7,"[0, 1, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
109,4331440c-8864-11f1-99ea-b48c9db4e1b4,7,"[0, 1, 0, 1]",1,1,1,,0.5,4,0.8016897943521991
110,4331440c-8864-11f1-99ea-b48c9db4e1b4,7,"[0, 1, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
111,4331440c-8864-11f1-99ea-b48c9db4e1b4,7,"[0, 1, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
112,4331440c-8864-11f1-99ea-b48c9db4e1b4,8,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
113,4331440c-8864-11f1-99ea-b48c9db4e1b4,8,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
114,4331440c-8864-11f1-99ea-b48c9db4e1b4,8,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
115,4331440c-8864-11f1-99ea-b48c9db4e1b4,8,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
116,4331440c-8864-11f1-99ea-b48c9db4e1b4,9,"[1, 0, 1, 0]",0,1,1,,0.5,4,0.8016897943521991
117,4331440c-8864-11f1-99ea-b48c9db4e1b4,9,"[1, 0, 1, 0]",1,0,0,,0.5,4,0.8016897943521991
118,4331440c-8864-11f1-99ea-b48c9db4e1b4,9,"[1, 0, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
119,4331440c-8864-11f1-99ea-b48c9db4e1b4,9,"[1, 0, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
120,4331440c-8864-11f1-99ea-b48c9db4e1b4,10,"[1, 0, 0, 1]",0,1,1,,0.5,4,0.8016897943521991
121,4331440c-8864-11f1-99ea-b48c9db4e1b4,10,"[1, 0, 0, 1]",1,0,0,,0.5,4,0.8016897943521991
122,4331440c-8864-11f1-99ea-b48c9db4e1b4,10,"[1, 0, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
123,4331440c-8864-11f1-99ea-b48c9db4e1b4,10,"[1, 0, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
124,4331440c-8864-11f1-99ea-b48c9db4e1b4,11,"[0, 1, 0, 1]",0,0,0,,0.5,4,0.8016897943521991
125,4331440c-8864-11f1-99ea-b48c9db4e1b4,11,"[0, 1, 0, 1]",1,1,1,,0.5,4,0.8016897943521991
126,4331440c-8864-11f1-99ea-b48c9db4e1b4,11,"[0, 1, 0, 1]",2,0,0,,0.5,4,0.8016897943521991
127,4331440c-8864-11f1-99ea-b48c9db4e1b4,11,"[0, 1, 0, 1]",3,1,1,,0.5,4,0.8016897943521991
128,4331440c-8864-11f1-99ea-b48c9db4e1b4,12,"[0, 1, 1, 0]",0,0,0,,0.5,4,0.8016897943521991
129,4331440c-8864-11f1-99ea-b48c9db4e1b4,12,"[0, 1, 1, 0]",1,1,1,,0.5,4,0.8016897943521991
130,4331440c-8864-11f1-99ea-b48c9db4e1b4,12,"[0, 1, 1, 0]",2,1,1,,0.5,4,0.8016897943521991
131,4331440c-8864-11f1-99ea-b48c9db4e1b4,12,"[0, 1, 1, 0]",3,0,0,,0.5,4,0.8016897943521991
132,4331440c-8864-11f1-99ea-b48c9db4e1b4,13,"[1, 0, 1, 0]",0,1,1,,0.5,4,0.8016897943521991
