,Unnamed: 0,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,0,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
1,1,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
2,2,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
3,3,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
4,4,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
5,5,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",5,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
6,6,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",6,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
7,7,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",7,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
8,8,c2fed41c-caea-11f0-b3b3-d094662e0881,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",8,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
9,9,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",0,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
10,10,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
11,11,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",2,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
12,12,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
13,13,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
14,14,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",5,1,1,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
15,15,c2fed41c-caea-11f0-b3b3-d094662e0881,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",6,0,0,FRA+Payoff+Attendance_upwards,0.7777777777777778,9
