,treatment,threshold,round,session,player,decision,score,num_players,group,choice,approx_threshold,absolute_round
8970,upwards,0.25,15,1,841658927890285,0.0,0.0,4,5,0.0,0.25,16.0
8971,upwards,0.25,15,1,373455036275630,0.0,0.0,4,5,0.0,0.25,16.0
8972,upwards,0.25,15,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,16.0
8973,upwards,0.25,15,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,16.0
8974,upwards,0.25,16,1,841658927890285,1.0,1.0,4,5,1.0,0.25,17.0
8975,upwards,0.25,16,1,373455036275630,0.0,0.0,4,5,0.0,0.25,17.0
8976,upwards,0.25,16,1,477327368780915,0.0,0.0,4,5,0.0,0.25,17.0
8977,upwards,0.25,16,1,616876846241757,0.0,0.0,4,5,0.0,0.25,17.0
8978,upwards,0.25,17,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,18.0
8979,upwards,0.25,17,1,373455036275630,0.0,0.0,4,5,0.0,0.25,18.0
8980,upwards,0.25,17,1,477327368780915,0.0,0.0,4,5,0.0,0.25,18.0
8981,upwards,0.25,17,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,18.0
8982,upwards,0.25,18,1,841658927890285,0.0,0.0,4,5,0.0,0.25,19.0
8983,upwards,0.25,18,1,373455036275630,1.0,1.0,4,5,1.0,0.25,19.0
8984,upwards,0.25,18,1,477327368780915,0.0,0.0,4,5,0.0,0.25,19.0
8985,upwards,0.25,18,1,616876846241757,0.0,0.0,4,5,0.0,0.25,19.0
8986,upwards,0.25,19,1,841658927890285,0.0,0.0,4,5,0.0,0.25,20.0
8987,upwards,0.25,19,1,373455036275630,0.0,0.0,4,5,0.0,0.25,20.0
8988,upwards,0.25,19,1,477327368780915,0.0,0.0,4,5,0.0,0.25,20.0
8989,upwards,0.25,19,1,616876846241757,1.0,1.0,4,5,1.0,0.25,20.0
8990,upwards,0.25,20,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,21.0
8991,upwards,0.25,20,1,373455036275630,0.0,0.0,4,5,0.0,0.25,21.0
8992,upwards,0.25,20,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,21.0
8993,upwards,0.25,20,1,616876846241757,0.0,0.0,4,5,0.0,0.25,21.0
8994,upwards,0.25,21,1,841658927890285,0.0,0.0,4,5,0.0,0.25,22.0
8995,upwards,0.25,21,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,22.0
8996,upwards,0.25,21,1,477327368780915,0.0,0.0,4,5,0.0,0.25,22.0
8997,upwards,0.25,21,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,22.0
8998,upwards,0.25,22,1,841658927890285,0.0,0.0,4,5,0.0,0.25,23.0
8999,upwards,0.25,22,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,23.0
9000,upwards,0.25,22,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,23.0
9001,upwards,0.25,22,1,616876846241757,0.0,0.0,4,5,0.0,0.25,23.0
